key,TOTAL_POP,TOTAL_MALE,TOTAL_FEMALE,SEX_RATIO,HH_SIZE,ENUMERATED_HH,QUICK_COUNT_HH,csv_pop_total,csv_pop_male,csv_pop_female,csv_hh_total,csv_sex_ratio,pop_diff,match_method,population,area_km2,density
26|20|32|059|411|248,22546,11643,10902,107,4.2,5388,5487,22546.0,11643.0,10902.0,5388.0,106.8,0.0,code_match,22546,0.43817494580001737,51454.3
26|20|32|059|411|256,20437,10409,10026,104,4.1,4991,4693,20436.0,10409.0,10025.0,4989.0,103.83,-1.0,code_match,20437,0.543397622520295,37609.7
26|20|32|059|411|308,8375,4268,4106,104,4.2,2006,1325,8375.0,4268.0,4106.0,2006.0,103.95,0.0,code_match,8375,0.21843708998161532,38340.6
26|20|32|060|150|168,1293,690,603,114,4.0,327,400,1293.0,690.0,603.0,325.0,114.43,0.0,code_match,1293,0.015700925592781922,82351.8
26|00|14|742|090|028,1733,1004,729,138,4.7,369,393,1733.0,1004.0,729.0,369.0,137.72,0.0,code_match,1733,0.7238084469056839,2394.3
26|00|14|742|093|028,1224,609,615,99,3.9,310,312,1224.0,609.0,615.0,310.0,99.02,0.0,code_match,1224,1.6389903430716328,746.8
26|00|14|742|093|268,111,62,49,127,4.6,24,38,111.0,62.0,49.0,24.0,126.53,0.0,code_match,111,0.8346565065207953,133.0
26|00|14|742|096|028,2111,1088,1023,106,3.7,564,437,2111.0,1088.0,1023.0,564.0,106.35,0.0,code_match,2111,0.4036472330110738,5229.8
26|00|14|742|096|068,1137,565,572,99,4.1,280,206,1137.0,565.0,572.0,280.0,98.78,0.0,code_match,1137,0.3663100552613046,3103.9
26|00|14|742|101|028,3049,1502,1547,97,4.1,746,594,3049.0,1502.0,1547.0,746.0,97.09,0.0,code_match,3049,1.9077078090787745,1598.3
26|00|14|742|101|368,879,466,413,113,3.6,245,200,880.0,467.0,413.0,245.0,113.08,1.0,code_match,879,0.7264879797411277,1209.9
26|00|14|742|114|028,1521,756,765,99,4.1,373,330,1521.0,756.0,765.0,373.0,98.82,0.0,code_match,1521,1.1827110186501673,1286.0
26|00|14|742|158|048,1503,742,761,98,3.6,418,460,1503.0,742.0,761.0,418.0,97.5,0.0,code_match,1503,0.530886925436972,2831.1
26|00|14|742|158|208,12990,6883,6104,113,3.4,3869,2669,13813.0,7303.0,6507.0,4164.0,112.23,823.0,code_match,12990,2.2272562759352574,5832.3
26|00|14|742|162|028,35,13,22,59,4.4,8,8,35.0,13.0,22.0,8.0,59.09,0.0,code_match,35,0.17207825720912284,203.4
26|00|14|742|193|028,1325,617,708,87,4.2,316,247,1325.0,617.0,708.0,316.0,87.15,0.0,code_match,1325,0.571796727829085,2317.3
26|00|14|742|193|068,2069,997,1072,93,4.1,499,445,2069.0,997.0,1072.0,499.0,93.0,0.0,code_match,2069,1.5981988041632837,1294.6
26|00|14|742|199|068,502,281,221,127,2.6,192,197,502.0,281.0,221.0,192.0,127.15,0.0,code_match,502,0.24317442068800305,2064.4
26|00|14|742|202|068,204,102,102,100,4.4,46,40,204.0,102.0,102.0,46.0,100.0,0.0,code_match,204,0.3145151604545009,648.6
26|00|14|742|442|208,1386,718,668,108,3.8,363,300,1386.0,718.0,668.0,363.0,107.49,0.0,code_match,1386,0.35926380838883204,3857.9
26|00|14|742|574|248,822,436,386,113,4.4,186,183,822.0,436.0,386.0,186.0,112.95,0.0,code_match,822,0.617166717018453,1331.9
26|00|14|742|574|268,536,248,288,86,4.2,129,171,536.0,248.0,288.0,129.0,86.11,0.0,code_match,536,1.8289753925665007,293.1
26|00|14|742|715|348,2556,1473,1083,136,2.9,875,701,2556.0,1473.0,1083.0,875.0,136.01,0.0,code_match,2556,1.019628228619345,2506.8
26|00|14|742|747|368,509,368,141,261,4.9,104,90,509.0,368.0,141.0,104.0,260.99,0.0,code_match,509,0.18546941492116953,2744.4
26|00|14|742|763|368,685,325,360,90,3.7,183,185,685.0,325.0,360.0,183.0,90.28,0.0,code_match,685,0.9977782707328671,686.5
26|00|14|742|769|368,8898,4761,4137,115,3.5,2510,2172,8898.0,4761.0,4137.0,2503.0,115.08,0.0,code_match,8898,3.7386758531850837,2380.0
26|00|14|742|774|368,807,420,387,109,4.1,195,170,807.0,420.0,387.0,195.0,108.53,0.0,code_match,807,0.7420442561809227,1087.5
26|40|14|001|456|048,567,306,261,117,5.0,114,60,567.0,306.0,261.0,114.0,117.24,0.0,code_match,567,0.01357424397911722,41770.3
26|40|14|001|456|068,358,197,161,122,3.7,98,61,358.0,197.0,161.0,98.0,122.36,0.0,code_match,358,0.012747669945931754,28083.6
26|40|14|001|456|080,4342,2255,2087,108,3.7,1162,830,4342.0,2255.0,2087.0,1162.0,108.05,0.0,code_match,4342,0.7297611587983295,5949.9
26|40|14|001|456|208,181,85,96,89,2.7,66,67,181.0,85.0,96.0,66.0,88.54,0.0,code_match,181,0.0507377068561496,3567.4
26|40|14|001|456|308,2389,1167,1220,96,3.9,612,585,2389.0,1167.0,1220.0,609.0,95.66,0.0,code_match,2389,0.11745796580453952,20339.2
26|40|14|001|767|376,130,67,63,106,3.2,41,61,130.0,67.0,63.0,41.0,106.35,0.0,code_match,130,0.11821100738818276,1099.7
26|40|14|002|214|068,302,149,153,97,3.9,77,43,302.0,149.0,153.0,77.0,97.39,0.0,code_match,302,0.013490436198220478,22386.2
26|40|14|002|214|128,1592,764,828,92,4.2,379,360,1592.0,764.0,828.0,379.0,92.27,0.0,code_match,1592,0.11247471739343849,14154.3
26|40|14|002|214|208,154,50,104,48,5.5,28,20,154.0,50.0,104.0,28.0,48.08,0.0,code_match,154,0.005416000463437074,28434.3
26|40|14|002|214|248,909,472,437,108,3.7,243,210,909.0,472.0,437.0,243.0,108.01,0.0,code_match,909,0.041921628970680545,21683.3
26|40|14|002|214|308,1879,929,950,98,3.7,504,465,2871.0,1437.0,1434.0,763.0,100.21,992.0,code_match,1879,0.15376857699149632,12219.7
26|40|14|002|214|348,180,98,82,120,4.2,43,68,182.0,98.0,84.0,43.0,116.67,2.0,code_match,180,0.013546828464813731,13287.2
26|40|14|003|500|028,1425,755,670,113,2.8,503,290,1425.0,755.0,670.0,503.0,112.69,0.0,code_match,1425,0.6437533575718809,2213.6
26|40|14|003|500|036,1634,813,821,99,3.6,453,508,1634.0,813.0,821.0,453.0,99.03,0.0,code_match,1634,0.04879930471578402,33484.1
26|40|14|003|500|044,1699,868,831,105,3.5,482,476,1699.0,868.0,831.0,482.0,104.45,0.0,code_match,1699,0.1244023108688178,13657.3
26|40|14|003|500|068,397,198,199,100,4.3,92,47,397.0,198.0,199.0,92.0,99.5,0.0,code_match,397,0.005174599374169226,76720.9
26|40|14|003|500|076,1129,559,570,98,3.6,318,340,1129.0,559.0,570.0,318.0,98.07,0.0,code_match,1129,0.05585275700554768,20213.9
26|40|14|003|500|128,1398,710,688,103,4.0,348,363,1399.0,711.0,688.0,348.0,103.34,1.0,code_match,1398,0.061311033971280834,22801.8
26|40|14|003|500|228,4188,2242,1946,115,3.3,1287,990,4795.0,2607.0,2188.0,1504.0,119.15,607.0,code_match,4188,0.5299294147746884,7902.9
26|40|14|003|500|268,453,219,234,94,3.7,122,100,453.0,219.0,234.0,122.0,93.59,0.0,code_match,453,0.007965139066713187,56872.8
26|40|14|003|500|308,183,93,90,103,4.7,39,82,183.0,93.0,90.0,39.0,103.33,0.0,code_match,183,0.005441698175196522,33629.2
26|40|14|004|457|068,3350,1738,1612,108,3.8,878,772,3350.0,1738.0,1612.0,878.0,107.82,0.0,code_match,3350,0.17865108630092624,18751.6
26|40|14|004|457|308,707,350,357,98,3.8,188,148,707.0,350.0,357.0,188.0,98.04,0.0,code_match,707,0.03812554392611974,18544.0
26|40|14|004|457|408,945,455,490,93,3.6,262,302,945.0,455.0,490.0,262.0,92.86,0.0,code_match,945,0.06831896125130596,13832.2
26|40|14|004|457|705,589,285,304,94,3.5,169,138,589.0,285.0,304.0,169.0,93.75,0.0,code_match,589,0.039389091747952173,14953.4
26|40|14|004|759|248,756,356,400,89,4.1,186,181,756.0,356.0,400.0,186.0,89.0,0.0,code_match,756,0.035180714525466956,21489.0
26|40|14|004|759|368,457,231,226,102,3.5,129,114,457.0,231.0,226.0,129.0,102.21,0.0,code_match,457,0.05324704479617686,8582.6
26|40|14|005|200|028,2372,1220,1152,106,3.7,648,550,2372.0,1220.0,1152.0,648.0,105.9,0.0,code_match,2372,0.0765475237285868,30987.3
26|40|14|005|200|068,5171,2724,2447,111,3.1,1671,1165,5171.0,2724.0,2447.0,1671.0,111.32,0.0,code_match,5171,0.467208213858595,11067.9
26|40|14|005|200|208,1079,541,538,101,3.8,283,281,1079.0,541.0,538.0,283.0,100.56,0.0,code_match,1079,0.16702388325444625,6460.2
26|40|14|005|200|216,394,197,197,100,3.9,100,90,394.0,197.0,197.0,100.0,100.0,0.0,code_match,394,0.01092024928721537,36079.8
26|40|14|005|200|408,17,8,9,89,3.4,5,10,17.0,8.0,9.0,5.0,88.89,0.0,code_match,17,0.006964561913310131,2440.9
26|40|14|006|469|028,2083,1025,1058,97,3.6,573,366,2083.0,1025.0,1058.0,573.0,96.88,0.0,code_match,2083,0.1097063638321082,18987.0
26|40|14|006|469|168,917,486,431,113,3.1,294,213,917.0,486.0,431.0,294.0,112.76,0.0,code_match,917,0.0548315028991267,16724.0
26|40|14|006|469|208,1377,704,673,105,3.8,360,224,1377.0,704.0,673.0,360.0,104.61,0.0,code_match,1377,0.1007630366303917,13665.7
26|40|14|006|469|216,2316,1146,1170,98,3.1,740,641,2316.0,1146.0,1170.0,740.0,97.95,0.0,code_match,2316,0.1364433809464079,16974.1
26|40|14|007|375|248,6117,3169,2948,108,3.4,1812,1480,6121.0,3170.0,2951.0,1812.0,107.42,4.0,code_match,6117,0.3614511913342092,16923.4
26|40|14|007|375|348,234,122,112,109,4.2,56,50,234.0,122.0,112.0,56.0,108.93,0.0,code_match,234,0.010940766557255831,21387.9
26|40|14|008|654|150,5274,2834,2440,116,3.4,1536,1441,5274.0,2833.0,2441.0,1536.0,116.06,0.0,code_match,5274,0.5148495637625016,10243.8
26|40|14|008|654|308,3545,1542,1999,77,3.5,1000,813,3546.0,1542.0,2000.0,1000.0,77.1,1.0,code_match,3545,0.224704144834368,15776.3
26|40|14|008|654|316,2017,1072,945,113,3.5,578,481,2018.0,1073.0,945.0,578.0,113.54,1.0,code_match,2017,0.06400954714657872,31510.9
26|40|14|009|152|048,2075,1050,1025,102,4.0,524,400,4077.0,2051.0,2026.0,1021.0,101.23,2002.0,code_match,2075,1.1961233426692988,1734.8
26|40|14|009|156|048,6673,3445,3228,107,3.1,2173,1900,6667.0,3444.0,3223.0,2173.0,106.86,-6.0,code_match,6673,0.29251772655711406,22812.3
26|40|14|009|156|308,1794,997,795,125,2.7,664,482,1794.0,997.0,795.0,664.0,125.41,0.0,code_match,1794,0.2750889756773238,6521.5
26|40|14|009|156|388,1909,993,916,108,3.3,577,415,1908.0,993.0,915.0,577.0,108.52,-1.0,code_match,1909,0.16173312734401524,11803.4
26|00|18|142|034|054,471,184,287,64,4.4,106,115,471.0,184.0,287.0,106.0,64.11,0.0,code_match,471,0.15902430686365576,2961.8
26|00|18|142|035|015,0,0,0,0,0.0,0,0,,,,,,,gpkg_only_no_census_match,0,0.5195408132795984,0.0
26|00|18|142|072|028,1073,466,607,77,4.1,262,240,1073.0,466.0,607.0,262.0,76.77,0.0,code_match,1073,0.459720390578473,2334.0
26|00|18|142|075|028,1448,636,812,78,4.3,340,355,1448.0,636.0,812.0,340.0,78.33,0.0,code_match,1448,0.2181815385925176,6636.7
26|00|18|142|114|448,0,0,0,0,0.0,0,0,,,,,,,gpkg_only_no_census_match,0,0.5692499812259182,0.0
26|00|18|142|119|048,593,256,337,76,4.1,146,145,593.0,256.0,337.0,146.0,75.96,0.0,code_match,593,0.14419891255261896,4112.4
26|00|18|142|155|068,2978,1390,1588,88,4.4,676,660,2978.0,1390.0,1588.0,676.0,87.53,0.0,code_match,2978,0.16469409241204547,18082.0
26|00|18|142|155|408,889,410,479,86,4.3,208,140,889.0,410.0,479.0,208.0,85.59,0.0,code_match,889,0.16256434508763978,5468.6
26|00|18|142|296|148,888,416,472,88,4.3,208,266,888.0,416.0,472.0,208.0,88.14,0.0,code_match,888,0.6393450991131477,1388.9
26|00|18|142|411|208,1209,570,639,89,4.3,280,300,1209.0,570.0,639.0,280.0,89.2,0.0,code_match,1209,0.48157402895260276,2510.5
26|00|18|142|412|208,125,61,64,95,4.8,26,45,125.0,61.0,64.0,26.0,95.31,0.0,code_match,125,0.7817330534390219,159.9
26|00|18|142|415|208,1337,606,731,83,4.4,305,350,1337.0,606.0,731.0,305.0,82.9,0.0,code_match,1337,0.6543743393123473,2043.2
26|00|18|142|493|248,891,386,505,76,4.1,217,226,891.0,386.0,505.0,217.0,76.44,0.0,code_match,891,0.3143934910606456,2834.0
26|00|18|142|609|308,751,331,420,79,4.0,189,206,751.0,331.0,420.0,189.0,78.81,0.0,code_match,751,0.7700726958808929,975.2
26|00|18|142|678|068,1271,597,674,89,4.3,293,240,1271.0,597.0,674.0,293.0,88.58,0.0,code_match,1271,0.38738276268177724,3281.0
26|00|18|142|678|408,1261,567,694,82,4.2,302,235,1261.0,567.0,694.0,302.0,81.7,0.0,code_match,1261,0.13975734340387505,9022.8
26|00|18|440|036|063,686,293,393,75,3.8,180,160,686.0,293.0,393.0,180.0,74.55,0.0,code_match,686,0.3723281503425112,1842.5
26|00|18|440|036|168,273,124,149,83,3.5,78,90,273.0,124.0,149.0,78.0,83.22,0.0,code_match,273,0.25703972968213545,1062.1
26|00|18|440|036|308,311,154,157,98,4.5,69,60,311.0,154.0,157.0,69.0,98.09,0.0,code_match,311,0.1402801581875539,2217.0
26|00|18|440|070|028,2904,1289,1615,80,3.9,745,720,2903.0,1288.0,1615.0,745.0,79.75,-1.0,code_match,2904,1.6166007370582753,1796.4
26|00|18|440|070|048,410,168,242,69,4.5,92,120,410.0,168.0,242.0,92.0,69.42,0.0,code_match,410,0.1047313874886138,3914.8
26|00|18|440|109|048,332,162,170,95,4.1,81,85,332.0,162.0,170.0,81.0,95.29,0.0,code_match,332,0.5073513758320766,654.4
26|00|18|440|109|208,720,351,369,95,4.4,163,165,722.0,353.0,369.0,163.0,95.66,2.0,code_match,720,0.2594856707363988,2774.7
26|00|18|440|112|048,3795,1637,2158,76,3.8,997,825,3795.0,1637.0,2158.0,997.0,75.86,0.0,code_match,3795,1.5760703303745864,2407.9
26|00|18|440|112|208,383,174,209,83,3.6,106,50,383.0,174.0,209.0,106.0,83.25,0.0,code_match,383,0.06404164189852972,5980.5
26|00|18|440|116|048,499,244,255,96,3.8,131,130,499.0,244.0,255.0,131.0,95.69,0.0,code_match,499,0.5326060650029583,936.9
26|00|18|440|117|067,1061,498,563,89,4.3,248,220,1061.0,498.0,563.0,248.0,88.45,0.0,code_match,1061,0.11688984642298875,9076.9
26|00|18|440|117|168,288,123,165,75,4.1,71,95,288.0,123.0,165.0,71.0,74.55,0.0,code_match,288,0.1084750459235384,2655.0
26|00|18|440|118|028,549,239,310,77,3.8,144,120,549.0,239.0,310.0,144.0,77.1,0.0,code_match,549,0.16132575853922,3403.1
26|00|18|440|118|308,371,169,202,84,3.5,107,75,371.0,169.0,202.0,107.0,83.66,0.0,code_match,371,0.16313714311011238,2274.2
26|00|18|440|156|068,375,176,199,88,4.0,93,90,375.0,176.0,199.0,93.0,88.44,0.0,code_match,375,0.4919430000157763,762.3
26|00|18|440|366|308,366,159,207,77,3.9,93,60,366.0,159.0,207.0,93.0,76.81,0.0,code_match,366,0.12716974938196277,2878.0
26|00|18|440|402|208,1876,846,1030,82,4.1,461,480,1874.0,846.0,1028.0,461.0,82.3,-2.0,code_match,1876,0.4099873324801839,4575.8
26|00|18|440|402|368,1196,538,658,82,4.3,277,270,1196.0,538.0,658.0,277.0,81.76,0.0,code_match,1196,0.29630505502195015,4036.4
26|00|18|440|413|208,1040,434,606,72,3.8,272,160,1040.0,434.0,606.0,272.0,71.62,0.0,code_match,1040,0.2556272539983453,4068.4
26|00|18|440|490|248,475,222,253,88,3.7,127,120,475.0,222.0,253.0,127.0,87.75,0.0,code_match,475,0.10017221304836635,4741.8
26|00|18|440|610|308,1111,548,563,97,4.1,269,190,1111.0,548.0,563.0,269.0,97.34,0.0,code_match,1111,0.27050283429200755,4107.2
26|00|18|440|610|368,429,188,241,78,3.8,113,125,429.0,188.0,241.0,113.0,78.01,0.0,code_match,429,0.0737194613857841,5819.4
26|00|18|440|716|068,3609,1594,2015,79,4.2,866,772,3609.0,1594.0,2015.0,866.0,79.11,0.0,code_match,3609,0.77230618274429,4673.0
26|00|18|440|716|408,2570,1135,1435,79,3.9,667,701,2570.0,1135.0,1435.0,667.0,79.09,0.0,code_match,2570,2.795094344238575,919.5
26|00|18|507|110|048,1232,568,664,86,4.3,286,245,1231.0,568.0,663.0,286.0,85.67,-1.0,code_match,1232,1.1916759671333785,1033.8
26|00|18|507|111|048,0,0,0,0,0.0,0,0,,,,,,,gpkg_only_no_census_match,0,4.545771989389844,0.0
26|00|18|507|113|048,4731,2161,2570,84,4.1,1159,1060,4731.0,2161.0,2570.0,1159.0,84.09,0.0,code_match,4731,1.7148389669077522,2758.9
26|00|18|507|293|148,1884,823,1061,78,4.1,461,255,1884.0,823.0,1061.0,461.0,77.57,0.0,code_match,1884,0.6785831755873223,2776.4
26|00|18|507|297|148,96,37,59,63,4.2,23,17,95.0,37.0,58.0,23.0,63.79,-1.0,code_match,96,0.0982312449809276,977.3
26|00|18|507|413|216,2555,1234,1320,94,3.8,667,665,2555.0,1234.0,1320.0,667.0,93.48,0.0,code_match,2555,1.1916978370818834,2144.0
26|00|18|507|452|056,3467,1593,1874,85,4.5,771,520,3466.0,1593.0,1873.0,771.0,85.05,-1.0,code_match,3467,0.8173438736036421,4241.8
26|00|18|507|491|248,0,0,0,0,0.0,0,0,,,,,,,gpkg_only_no_census_match,0,3.308864560486828,0.0
26|00|18|507|531|268,1263,566,697,81,4.4,290,250,1264.0,567.0,697.0,289.0,81.35,1.0,code_match,1263,13.420780914960087,94.1
26|00|18|507|611|308,213,86,127,68,4.7,45,62,213.0,86.0,127.0,45.0,67.72,0.0,code_match,213,0.3144929638866679,677.3
26|00|18|507|680|348,4108,1832,2274,81,4.1,994,890,4108.0,1832.0,2274.0,994.0,80.56,0.0,code_match,4108,0.38029337552963816,10802.2
26|00|18|507|718|368,92,41,51,80,5.8,16,22,92.0,41.0,51.0,16.0,80.39,0.0,code_match,92,6.592241899660045,14.0
26|00|18|507|719|368,1615,769,846,91,4.2,383,255,1615.0,769.0,846.0,383.0,90.9,0.0,code_match,1615,0.7764298506804237,2080.0
26|00|18|507|885|572,0,0,0,0,0.0,0,0,,,,,,,gpkg_only_no_census_match,0,10.302026383298372,0.0
26|00|18|516|074|028,2188,969,1219,80,3.9,556,330,2188.0,969.0,1219.0,556.0,79.49,0.0,code_match,2188,0.6586439923863343,3322.0
26|00|18|516|074|236,697,396,301,132,5.2,134,102,698.0,397.0,301.0,134.0,131.89,1.0,code_match,697,0.10111299785885791,6893.3
26|00|18|516|074|237,1263,730,533,137,4.6,274,220,1263.0,730.0,533.0,274.0,136.96,0.0,code_match,1263,0.27286356696151537,4628.7
26|00|18|516|409|208,640,301,339,89,3.5,183,200,640.0,301.0,339.0,183.0,88.79,0.0,code_match,640,0.18631338907458506,3435.1
26|00|18|516|409|216,533,225,308,73,3.6,148,120,533.0,225.0,308.0,148.0,73.05,0.0,code_match,533,0.17219083219208856,3095.4
26|00|18|516|409|251,538,263,275,96,4.0,133,120,538.0,263.0,275.0,133.0,95.64,0.0,code_match,538,0.16221913638505195,3316.5
26|00|18|516|409|368,651,286,365,78,4.0,163,210,651.0,286.0,365.0,163.0,78.36,0.0,code_match,651,0.1300911115174169,5004.2
26|00|18|516|489|028,672,290,382,76,3.8,176,250,672.0,290.0,382.0,176.0,75.92,0.0,code_match,672,0.5557022959198386,1209.3
26|00|18|516|489|148,394,175,219,80,4.0,99,130,394.0,175.0,219.0,99.0,79.91,0.0,code_match,394,0.07789980775345479,5057.8
26|00|18|516|489|248,2055,880,1175,75,3.9,528,440,2055.0,880.0,1175.0,528.0,74.89,0.0,code_match,2055,0.42218080976957656,4867.6
26|00|18|516|489|348,194,90,104,87,4.0,48,40,194.0,90.0,104.0,48.0,86.54,0.0,code_match,194,0.04233688337736786,4582.3
26|00|18|516|492|248,2538,1147,1391,83,3.9,643,469,2538.0,1147.0,1391.0,643.0,82.46,0.0,code_match,2538,1.810498042056973,1401.8
26|00|18|516|492|348,435,194,241,81,3.8,114,130,435.0,194.0,241.0,114.0,80.5,0.0,code_match,435,0.09028498605402828,4818.1
26|00|18|516|496|068,1195,541,654,83,4.0,302,231,1195.0,541.0,654.0,302.0,82.72,0.0,code_match,1195,0.755572208678778,1581.6
26|00|18|516|496|128,1935,1026,909,113,4.4,440,350,1936.0,1027.0,909.0,440.0,112.98,1.0,code_match,1935,0.5046665542108426,3834.2
26|00|18|516|496|248,339,169,170,99,4.0,84,100,339.0,169.0,170.0,84.0,99.41,0.0,code_match,339,1.1189414012112344,303.0
26|00|18|516|496|251,557,194,363,53,4.6,120,160,557.0,194.0,363.0,120.0,53.44,0.0,code_match,557,0.17459470709760275,3190.2
26|00|18|516|496|256,4271,2072,2199,94,4.4,966,741,4271.0,2072.0,2199.0,966.0,94.22,0.0,code_match,4271,2.126084398735394,2008.9
26|00|18|516|496|308,1471,680,791,86,4.3,341,240,1471.0,680.0,791.0,341.0,85.97,0.0,code_match,1471,1.0772423208415642,1365.5
26|00|18|516|605|048,353,160,193,83,4.1,86,110,353.0,160.0,193.0,86.0,82.9,0.0,code_match,353,0.3892230313839674,906.9
26|00|18|516|605|068,1256,529,727,73,4.0,315,360,1256.0,529.0,727.0,315.0,72.76,0.0,code_match,1256,0.5440280365995425,2308.7
26|00|18|516|605|076,2590,1102,1488,74,4.4,590,451,3068.0,1315.0,1753.0,708.0,75.01,478.0,code_match,2590,0.7064444981510135,3666.2
26|00|18|516|605|096,477,212,265,80,4.0,118,120,,,,,,,gpkg_only_no_census_match,477,0.3234982039382711,1474.5
26|00|18|516|605|248,3781,1730,2051,84,4.0,935,913,3781.0,1730.0,2051.0,935.0,84.35,0.0,code_match,3781,1.724867618125918,2192.1
26|00|18|542|715|284,2833,1385,1448,96,4.2,669,642,2833.0,1385.0,1448.0,669.0,95.65,0.0,code_match,2833,0.5730990579848845,4943.3
26|00|18|542|715|348,676,311,365,85,4.0,168,130,676.0,311.0,365.0,168.0,85.21,0.0,code_match,676,0.2795103956830265,2418.5
26|00|18|542|715|368,2826,1292,1534,84,4.0,701,711,2826.0,1292.0,1534.0,701.0,84.22,0.0,code_match,2826,0.8190703070447413,3450.3
26|00|18|542|717|068,5271,2347,2924,80,3.9,1349,1251,5270.0,2346.0,2924.0,1349.0,80.23,-1.0,code_match,5271,3.084937198387699,1708.6
26|00|18|542|717|268,1822,837,985,85,4.0,452,260,1822.0,837.0,985.0,452.0,84.97,0.0,code_match,1822,0.43393899857544543,4198.7
26|00|18|542|717|388,546,258,288,90,4.6,120,130,546.0,258.0,288.0,120.0,89.58,0.0,code_match,546,0.35680136505155297,1530.3
26|00|18|542|717|408,4457,2155,2302,94,4.2,1056,690,4345.0,2086.0,2259.0,1056.0,92.34,-112.0,code_match,4457,3.239968890410797,1375.6
26|00|18|551|153|028,2730,1245,1485,84,4.0,679,795,2730.0,1245.0,1485.0,679.0,83.84,0.0,code_match,2730,0.989188290789783,2759.8
26|00|18|551|153|057,3337,1489,1848,81,4.0,828,725,3337.0,1489.0,1848.0,828.0,80.57,0.0,code_match,3337,0.40898946525936153,8159.1
26|00|18|551|153|308,1673,825,848,97,4.3,388,240,1673.0,825.0,848.0,388.0,97.29,0.0,code_match,1673,0.29802422689761876,5613.6
26|00|18|551|157|248,1794,795,999,80,4.0,452,390,1794.0,795.0,999.0,452.0,79.58,0.0,code_match,1794,1.139932915704386,1573.8
26|00|18|551|294|152,0,0,0,0,0.0,0,0,,,,,,,gpkg_only_no_census_match,0,1.2982414899616153,0.0
26|00|18|551|295|308,383,182,201,91,3.9,97,100,383.0,182.0,201.0,97.0,90.55,0.0,code_match,383,0.24124447628484494,1587.6
26|00|18|551|403|234,0,0,0,0,0.0,0,0,,,,,,,gpkg_only_no_census_match,0,0.47344667496436227,0.0
26|00|18|551|410|248,130,72,58,124,3.7,35,65,130.0,72.0,58.0,35.0,124.14,0.0,code_match,130,1.6292383145836096,79.8
26|00|18|551|534|268,165,76,89,85,4.1,40,50,165.0,76.0,89.0,40.0,85.39,0.0,code_match,165,0.5117982965192551,322.4
26|00|18|551|535|276,0,0,0,0,0.0,0,0,,,,,,,gpkg_only_no_census_match,0,1.0823664184630268,0.0
26|00|18|551|604|308,319,146,173,84,3.8,85,100,319.0,146.0,173.0,85.0,84.39,0.0,code_match,319,0.17748922425849467,1797.3
26|00|18|551|604|316,1420,644,776,83,4.3,329,245,1420.0,644.0,776.0,329.0,82.99,0.0,code_match,1420,1.1659552945367782,1217.9
26|00|18|551|606|321,0,0,0,0,0.0,0,0,,,,,,,gpkg_only_no_census_match,0,1.1497134364503987,0.0
26|00|18|551|608|421,0,0,0,0,0.0,0,0,,,,,,,gpkg_only_no_census_match,0,3.945224390131963,0.0
26|00|18|676|071|088,5783,2622,3161,83,3.8,1504,1070,5783.0,2622.0,3161.0,1504.0,82.95,0.0,code_match,5783,1.3671274299097231,4230.0
26|00|18|676|071|148,389,164,225,73,3.6,108,85,389.0,164.0,225.0,108.0,72.89,0.0,code_match,389,0.09017418729634172,4313.9
26|00|18|676|071|228,995,438,557,79,3.5,284,160,995.0,438.0,557.0,284.0,78.64,0.0,code_match,995,0.6598329725954297,1508.0
26|00|18|676|071|308,1065,506,559,91,3.7,287,160,1065.0,506.0,559.0,287.0,90.52,0.0,code_match,1065,0.27955704851725277,3809.6
26|00|18|676|115|188,1043,469,574,82,3.8,275,230,1043.0,469.0,574.0,275.0,81.71,0.0,code_match,1043,0.47647090382730095,2189.0
26|00|18|676|408|184,745,355,390,91,3.7,199,180,745.0,355.0,390.0,199.0,91.03,0.0,code_match,745,0.7869920315936977,946.6
26|00|18|676|408|216,454,198,256,77,3.7,123,145,454.0,198.0,256.0,123.0,77.34,0.0,code_match,454,0.2492214122980244,1821.7
26|00|18|676|408|224,127,60,67,90,4.4,29,40,260.0,127.0,133.0,61.0,95.49,133.0,name_match_fallback,127,0.012951279763228516,9806.0
26|00|18|676|452|072,514,244,270,90,3.8,134,90,514.0,244.0,270.0,134.0,90.37,0.0,code_match,514,0.13735489059145292,3742.1
26|00|18|676|452|248,1855,825,1030,80,3.8,493,500,1855.0,825.0,1030.0,493.0,80.1,0.0,code_match,1855,0.3115083933504014,5954.9
26|00|18|676|452|296,1239,562,677,83,3.8,322,280,1239.0,562.0,677.0,322.0,83.01,0.0,code_match,1239,0.3310278141425014,3742.9
26|00|18|676|679|208,462,203,259,78,4.1,112,90,462.0,203.0,259.0,112.0,78.38,0.0,code_match,462,0.10690777766773937,4321.5
26|00|18|676|679|348,458,213,245,87,4.1,111,90,458.0,213.0,245.0,111.0,86.94,0.0,code_match,458,0.11984932769481256,3821.5
26|00|18|676|681|348,8250,3758,4492,84,4.0,2086,1650,8249.0,3757.0,4492.0,2086.0,83.64,-1.0,code_match,8250,1.308340836922576,6305.7
26|00|18|710|154|068,237,111,126,88,3.9,61,40,237.0,111.0,126.0,61.0,88.1,0.0,code_match,237,0.48899780678243865,484.7
26|00|18|710|154|128,114,51,63,81,3.9,29,50,114.0,51.0,63.0,29.0,80.95,0.0,code_match,114,0.15838029183632632,719.8
